category,project,chain,asset,symbol,pool_id
staking,lido,Ethereum,ETH,STETH,747c1d2a-c668-4682-b9f9-296708a3dd90
staking,rocket-pool,Ethereum,ETH,RETH,d4b3c522-6127-4b89-bedf-83641cdcd2eb
lending,aave-v3,Ethereum,USDC,USDC,aa70268e-4b52-42bf-a116-608b370f9501
lending,aave-v3,Ethereum,USDT,USDT,f981a304-bb6c-45b8-b0c5-fd2f515ad23a
lending,aave-v3,Ethereum,DAI,DAI,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac
lending,aave-v3,Ethereum,ETH,WETH,e880e828-ca59-4ec6-8d4f-27182a4dc23d
lending,aave-v3,Arbitrum,USDC,USDC,d9fa8e14-0447-4207-9ae8-7810199dfa1f
lending,aave-v3,Arbitrum,DAI,DAI,a8e3d841-2788-4647-ad54-5a36fac451b1
lending,aave-v3,Arbitrum,ETH,WETH,e302de4d-952e-4e18-9749-0a9dc86e98bc
lending,aave-v3,Base,USDC,USDC,7e0661bf-8cf3-45e6-9424-31916d4c7b84
lending,aave-v3,Base,ETH,WETH,23405eee-97e7-4b8e-8625-19c3a36047e8
lending,compound-v3,Ethereum,USDC,USDC,7da72d09-56ca-4ec5-a45f-59114353e487
lending,compound-v3,Ethereum,USDT,USDT,f4d5b566-e815-4ca2-bb07-7bcd8bc797f1
lending,compound-v3,Ethereum,ETH,ETH,85c57261-b75b-4447-a115-d79b1a7de8ed
stablecoin_yield,ethena-usde,Ethereum,USDe,SUSDE,66985a81-9c51-46ca-9977-42b4fe7bc6df
stablecoin_yield,sky-lending,Ethereum,DAI,SDAI,c8a24fee-ec00-4f38-86c0-9f6daebc4225
stablecoin_yield,sky-lending,Ethereum,USDS,SUSDS,d8c4eff5-c8a9-46fc-a888-057c4c668e72
stablecoin_yield,spark-savings,Arbitrum,USDS,USDS,9d499222-a01a-45bb-bbc9-f01c7923693b
stablecoin_yield,spark-savings,Base,USDS,USDS,aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd
