date,apy,apyBase,apyReward,tvl_usd,pool_id,category,project,chain,asset,symbol
2022-05-03 00:00:00+00:00,3.6,3.6,,11074372760,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-04 00:00:00+00:00,3.6,3.6,,11744709791,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-05 00:00:00+00:00,3.6,3.6,,11008298772,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-06 00:00:00+00:00,3.5,3.5,,10974211995,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-07 00:00:00+00:00,3.5,3.5,,10736517627,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-08 00:00:00+00:00,3.6,3.6,,10375445969,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-09 00:00:00+00:00,3.5,3.5,,9406769875,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-10 00:00:00+00:00,3.6,3.6,,9506069560,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-11 00:00:00+00:00,3.6,3.6,,8714550420,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-12 00:00:00+00:00,3.6,3.6,,7857787286,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-13 00:00:00+00:00,3.6,3.6,,8459868374,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-14 00:00:00+00:00,3.6,3.6,,8307436489,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-15 00:00:00+00:00,3.7,3.7,,8869252957,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-16 00:00:00+00:00,3.7,3.7,,8406513502,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-17 00:00:00+00:00,3.7,3.7,,8601108016,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-18 00:00:00+00:00,3.8,3.8,,8072321130,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-19 00:00:00+00:00,3.8,3.8,,8305322669,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-20 00:00:00+00:00,3.8,3.8,,8110663532,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-21 00:00:00+00:00,3.8,3.8,,8093785039,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-22 00:00:00+00:00,3.9,3.9,,8299480469,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-23 00:00:00+00:00,3.9,3.9,,8130648910,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-24 00:00:00+00:00,4.0,4.0,,8144177342,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-25 00:00:00+00:00,4.0,4.0,,8076696769,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-26 00:00:00+00:00,4.0,4.0,,7549047867,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-27 00:00:00+00:00,4.0,4.0,,7162858310,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-28 00:00:00+00:00,4.0,4.0,,7329191226,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-29 00:00:00+00:00,4.0,4.0,,7403372675,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-30 00:00:00+00:00,4.0,4.0,,8190730072,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-05-31 00:00:00+00:00,4.0,4.0,,8040565588,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
2022-06-01 00:00:00+00:00,4.0,4.0,,7457563960,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,lido,Ethereum,ETH,STETH
