date,tvl_usd,protocol,category,slug
2023-06-14 00:00:00,13300350,EigenLayer,restaking,eigencloud
2023-06-15 00:00:00,16484319,EigenLayer,restaking,eigencloud
2023-06-16 00:00:00,16557169,EigenLayer,restaking,eigencloud
2023-06-17 00:00:00,17099837,EigenLayer,restaking,eigencloud
2023-06-18 00:00:00,17177115,EigenLayer,restaking,eigencloud
2023-06-19 00:00:00,17161176,EigenLayer,restaking,eigencloud
2023-06-20 00:00:00,17335749,EigenLayer,restaking,eigencloud
2023-06-21 00:00:00,17929755,EigenLayer,restaking,eigencloud
2023-06-22 00:00:00,19083949,EigenLayer,restaking,eigencloud
2023-06-23 00:00:00,18695588,EigenLayer,restaking,eigencloud
2023-06-24 00:00:00,18769390,EigenLayer,restaking,eigencloud
2023-06-25 00:00:00,18682076,EigenLayer,restaking,eigencloud
2023-06-26 00:00:00,18888744,EigenLayer,restaking,eigencloud
2023-06-27 00:00:00,18566137,EigenLayer,restaking,eigencloud
2023-06-28 00:00:00,18657881,EigenLayer,restaking,eigencloud
2023-06-29 00:00:00,18257499,EigenLayer,restaking,eigencloud
2023-06-30 00:00:00,18453136,EigenLayer,restaking,eigencloud
2023-07-01 00:00:00,19332958,EigenLayer,restaking,eigencloud
2023-07-02 00:00:00,19164797,EigenLayer,restaking,eigencloud
2023-07-03 00:00:00,19321233,EigenLayer,restaking,eigencloud
2023-07-04 00:00:00,19504158,EigenLayer,restaking,eigencloud
2023-07-05 00:00:00,19332540,EigenLayer,restaking,eigencloud
2023-07-06 00:00:00,18997957,EigenLayer,restaking,eigencloud
2023-07-07 00:00:00,18380332,EigenLayer,restaking,eigencloud
2023-07-08 00:00:00,18662952,EigenLayer,restaking,eigencloud
2023-07-09 00:00:00,18633873,EigenLayer,restaking,eigencloud
2023-07-10 00:00:00,18574453,EigenLayer,restaking,eigencloud
2023-07-11 00:00:00,18739752,EigenLayer,restaking,eigencloud
2023-07-12 00:00:00,18774366,EigenLayer,restaking,eigencloud
2023-07-13 00:00:00,81727495,EigenLayer,restaking,eigencloud
2023-07-14 00:00:00,94308514,EigenLayer,restaking,eigencloud
2023-07-15 00:00:00,90370779,EigenLayer,restaking,eigencloud
2023-07-16 00:00:00,90505184,EigenLayer,restaking,eigencloud
2023-07-17 00:00:00,89939140,EigenLayer,restaking,eigencloud
2023-07-18 00:00:00,89502627,EigenLayer,restaking,eigencloud
2023-07-19 00:00:00,89328221,EigenLayer,restaking,eigencloud
2023-07-20 00:00:00,88549489,EigenLayer,restaking,eigencloud
2023-07-21 00:00:00,88528355,EigenLayer,restaking,eigencloud
2023-07-22 00:00:00,88761002,EigenLayer,restaking,eigencloud
2023-07-23 00:00:00,87166102,EigenLayer,restaking,eigencloud
2023-07-24 00:00:00,88434755,EigenLayer,restaking,eigencloud
2023-07-25 00:00:00,86653035,EigenLayer,restaking,eigencloud
2023-07-26 00:00:00,86933590,EigenLayer,restaking,eigencloud
2023-07-27 00:00:00,87461968,EigenLayer,restaking,eigencloud
2023-07-28 00:00:00,87186405,EigenLayer,restaking,eigencloud
2023-07-29 00:00:00,87807672,EigenLayer,restaking,eigencloud
2023-07-30 00:00:00,87987818,EigenLayer,restaking,eigencloud
2023-07-31 00:00:00,87662292,EigenLayer,restaking,eigencloud
2023-08-01 00:00:00,87179548,EigenLayer,restaking,eigencloud
2023-08-02 00:00:00,87446438,EigenLayer,restaking,eigencloud
2023-08-03 00:00:00,86202446,EigenLayer,restaking,eigencloud
2023-08-04 00:00:00,86020839,EigenLayer,restaking,eigencloud
2023-08-05 00:00:00,85727394,EigenLayer,restaking,eigencloud
2023-08-06 00:00:00,85967670,EigenLayer,restaking,eigencloud
2023-08-07 00:00:00,85621076,EigenLayer,restaking,eigencloud
2023-08-08 00:00:00,85816651,EigenLayer,restaking,eigencloud
2023-08-09 00:00:00,87144526,EigenLayer,restaking,eigencloud
2023-08-10 00:00:00,87120542,EigenLayer,restaking,eigencloud
2023-08-11 00:00:00,86973088,EigenLayer,restaking,eigencloud
2023-08-12 00:00:00,86985817,EigenLayer,restaking,eigencloud
