timestamp,fees_usd
1522022400,141
1522108800,73
1522195200,65
1522281600,24
1522368000,169
1522454400,137
1522540800,16
1522627200,42
1522713600,24
1522800000,11
1522886400,20
1522972800,114
1523059200,31
1523145600,110
1523232000,110
1523318400,41
1523404800,200
1523491200,7
1523577600,77
1523664000,73
1523750400,68
1523836800,141
1523923200,46
1524009600,14
1524096000,60
1524182400,56
1524268800,43
1524355200,5
1524441600,152
1524528000,45
1524614400,48
1524700800,21
1524873600,13
1524960000,5
1525046400,8
1525132800,42
1525219200,11
1525305600,34
1525392000,321
1525478400,75
1525564800,154
1525651200,253
1525737600,59
1525824000,220
1525910400,47
1525996800,18
1526083200,23
1526169600,14
1526256000,29
1526342400,31
1526428800,33
1526515200,33
1526688000,17
1526774400,27
1526860800,34
1526947200,102
1527033600,38
1527120000,24
1527206400,89
1527292800,10
1527379200,39
1527465600,29
1527552000,35
1527638400,92
1527724800,121
1527811200,52
1527897600,87
1527984000,22
1528070400,171
1528156800,47
1528243200,44
1528329600,51
1528416000,52
1528502400,80
1528588800,57
1528761600,13
1528848000,5
1528934400,9
1529020800,20
1529107200,25
1529193600,5
1529280000,78
1529366400,4
1529452800,40
1529539200,13
1529625600,41
1529712000,28
1529798400,15
1529884800,11
1529971200,50
1530057600,18
1530144000,66
1530230400,9
1530316800,9
1530403200,14
1530489600,8
1530576000,1
1530748800,1
1531008000,23
1531094400,10
1531180800,5
1531267200,52
1531353600,13
1531440000,35
1531526400,63
1531612800,15
1531699200,38
1531785600,37
1531872000,99
1531958400,15
1532044800,3
1532131200,126
1532217600,19
1532304000,1
1532390400,8
1532476800,25
1532563200,22
1532649600,9
1532736000,63
1532822400,10
1532908800,14
1532995200,35
1533081600,24
1533168000,29
1533254400,191
1533340800,18
1533427200,28
1533513600,6
1533600000,5
1533686400,1
1533772800,49
1533859200,37
1533945600,1
1534032000,26
1534118400,106
1534204800,49
1534291200,9
1534377600,19
1534464000,15
1534550400,90
1534636800,444
1534723200,33
1534809600,229
1534896000,187
1534982400,86
1535068800,96
1535155200,34
1535241600,39
1535328000,40
1535414400,52
1535500800,72
1535587200,63
1535673600,79
1535760000,101
1535846400,46
1535932800,150
1536019200,70
1536105600,268
1536192000,224
1536278400,115
1536364800,172
1536451200,215
1536537600,42
1536624000,87
1536710400,656
1536796800,189
1536883200,280
1536969600,195
1537056000,100
1537142400,122
1537228800,133
1537315200,166
1537401600,56
1537488000,236
1537574400,107
1537660800,119
1537747200,112
1537833600,134
1537920000,133
1538006400,216
1538092800,48
1538179200,166
1538265600,41
1538352000,45
1538438400,117
1538524800,130
1538611200,17
1538697600,191
1538784000,365
1538870400,460
1538956800,95
1539043200,54
1539129600,40
1539216000,80
1539302400,47
1539388800,70
1539475200,166
1539561600,68
1539648000,76
1539734400,95
1539820800,553
1539907200,198
1539993600,39
1540080000,94
1540166400,41
1540252800,58
1540339200,39
1540425600,287
1540512000,32
1540598400,42
1540684800,141
1540771200,43
1540857600,236
1540944000,78
1541030400,67
1541116800,61
1541203200,41
1541289600,62
1541376000,63
1541462400,71
1541548800,131
1541635200,177
1541721600,166
1541808000,92
1541894400,91
1541980800,119
1542067200,39
1542153600,157
1542240000,99
1542326400,52
1542412800,41
1542499200,220
1542585600,92
1542672000,171
1542758400,242
1542844800,90
1542931200,99
1543017600,95
1543104000,335
1543190400,109
1543276800,73
1543363200,87
1543449600,59
1543536000,140
1543622400,77
1543708800,102
1543795200,74
1543881600,118
1543968000,229
1544054400,202
1544140800,154
1544227200,128
1544313600,150
1544400000,91
1544486400,91
1544572800,164
1544659200,164
1544745600,500
1544832000,236
1544918400,214
1545004800,206
1545091200,219
1545177600,348
1545264000,516
1545350400,409
1545436800,776
1545523200,461
1545609600,523
1545696000,360
1545782400,269
1545868800,479
1545955200,808
1546041600,181
1546128000,71
1546214400,106
1546300800,103
1546387200,86
1546473600,118
1546560000,175
1546646400,632
1546732800,748
1546819200,622
1546905600,276
1546992000,559
1547078400,522
1547164800,369
1547251200,800
1547337600,690
1547424000,494
1547510400,915
1547596800,745
1547683200,1130
1547769600,680
1547856000,1358
1547942400,765
1548028800,907
1548115200,1241
1548201600,633
1548288000,756
1548374400,903
1548460800,1229
1548547200,1623
1548633600,1205
1548720000,1042
1548806400,1150
1548892800,1089
1548979200,1184
1549065600,1003
1549152000,1146
1549238400,712
1549324800,1519
1549411200,1349
1549497600,791
1549584000,1405
1549670400,1380
1549756800,1211
1549843200,1597
1549929600,2282
1550016000,2469
1550102400,2548
1550188800,2277
1550275200,1179
1550361600,2300
1550448000,1763
1550534400,3464
1550620800,2103
1550707200,1870
1550793600,3043
1550880000,4182
1550966400,5972
1551052800,2882
1551139200,2408
1551225600,4160
1551312000,1539
1551398400,3276
1551484800,2631
1551571200,2531
1551657600,4221
1551744000,4618
1551830400,3599
1551916800,2920
