chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception,pool_id,category,asset
Ethereum,lido,STETH,18441547627,2.368,,2.368,,747c1d2a-c668-4682-b9f9-296708a3dd90,0.01,-0.025,-0.155,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",,3.51564,0.05329,1453,False,['0x0000000000000000000000000000000000000000'],,,2.48693,,,,747c1d2a-c668-4682-b9f9-296708a3dd90,staking,ETH
Ethereum,sky-lending,SUSDS,6160973567,3.6,,3.6,,d8c4eff5-c8a9-46fc-a888-057c4c668e72,-0.05,-0.05,-0.05,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 64, 'binnedConfidence': 2}",,4.45598,0.03614,460,False,['0xdC035D45d973E3EC169d2276DDab16f1e407384F'],,,3.64854,,,,d8c4eff5-c8a9-46fc-a888-057c4c668e72,stablecoin_yield,USDS
Ethereum,rocket-pool,RETH,2811965786,2.04136,,2.04136,,d4b3c522-6127-4b89-bedf-83641cdcd2eb,0.0,0.04935,-0.22102,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 69, 'binnedConfidence': 2}",,2.9541,0.03794,1224,False,['0x0000000000000000000000000000000000000000'],,,2.07994,,,,d4b3c522-6127-4b89-bedf-83641cdcd2eb,staking,ETH
Ethereum,ethena-usde,SUSDE,1806563823,3.71545,,3.71545,,66985a81-9c51-46ca-9977-42b4fe7bc6df,0.01218,-0.57531,-1.55416,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",7 days unstaking,9.69696,0.38072,829,False,['0x4c9EDD5852cd905f086C759E8383e09bff1E68B3'],,,3.95337,,,,66985a81-9c51-46ca-9977-42b4fe7bc6df,stablecoin_yield,USDe
Ethereum,aave-v3,WETH,625596828,1.47931,,1.47931,,e880e828-ca59-4ec6-8d4f-27182a4dc23d,-0.02598,-0.0652,-2.76738,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 88, 'binnedConfidence': 3}",,1.87839,0.02528,1199,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,2.19783,,,,e880e828-ca59-4ec6-8d4f-27182a4dc23d,lending,ETH
Ethereum,aave-v3,USDT,526988739,2.44134,,2.44134,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,-0.0269,-0.42077,-2.63127,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",,4.53436,0.17261,1193,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,3.36157,,,,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,lending,USDT
Arbitrum,spark-savings,USDS,358808221,3.6,,3.6,,9d499222-a01a-45bb-bbc9-f01c7923693b,-0.05,-0.05,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 74, 'binnedConfidence': 3}",,3.64524,0.00076,21,False,['0x6491c05a82219b8d1479057361ff1654749b876b'],,,3.64777,,,,9d499222-a01a-45bb-bbc9-f01c7923693b,stablecoin_yield,USDS
Ethereum,sky-lending,SDAI,232086129,1.25,,1.25,,c8a24fee-ec00-4f38-86c0-9f6daebc4225,0.0,0.0,0.0,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,4.23279,0.1723,1265,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,1.25,,,,c8a24fee-ec00-4f38-86c0-9f6daebc4225,stablecoin_yield,DAI
Base,spark-savings,USDS,222527343,3.6,,3.6,,aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,-0.05,-0.05,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",,3.64524,0.00076,21,False,['0x820c137fa70c8691f0e44dc420a5e53c168921dc'],,,3.64777,,,,aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,stablecoin_yield,USDS
Ethereum,aave-v3,USDC,158315144,3.59233,,3.59233,,aa70268e-4b52-42bf-a116-608b370f9501,-0.24201,-1.22585,-1.0554,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 52, 'binnedConfidence': 1}",,4.80666,0.16016,1203,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.88906,,,,aa70268e-4b52-42bf-a116-608b370f9501,lending,USDC
Ethereum,compound-v3,USDT,56112870,2.63266,0.10024,2.7329,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,-0.00929,-0.14773,-0.3225,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 81, 'binnedConfidence': 3}",,4.97695,0.16077,599,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,2.97862,,,,f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,lending,USDT
Ethereum,aave-v3,DAI,47495243,1.88381,,1.88381,,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,0.02234,-0.82129,-6.97699,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 89, 'binnedConfidence': 3}",,4.4874,0.17299,1203,False,['0x6B175474E89094C44Da98b954EedeAC495271d0F'],,,3.3068,,,,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,lending,DAI
Base,aave-v3,WETH,34298646,1.51775,,1.51775,,23405eee-97e7-4b8e-8625-19c3a36047e8,-0.01202,-0.19422,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 80, 'binnedConfidence': 3}",,1.59748,0.04234,790,False,['0x4200000000000000000000000000000000000006'],,,1.45238,,,,23405eee-97e7-4b8e-8625-19c3a36047e8,lending,ETH
Ethereum,compound-v3,USDC,32406506,4.03602,0.11547,4.15149,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],7da72d09-56ca-4ec5-a45f-59114353e487,0.80429,-0.02164,1.25403,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,4.96805,0.15083,1322,False,['0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48'],,,3.3825,,,,7da72d09-56ca-4ec5-a45f-59114353e487,lending,USDC
Base,aave-v3,USDC,30520768,3.10617,,3.10617,,7e0661bf-8cf3-45e6-9424-31916d4c7b84,0.01469,0.19122,-0.34281,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 78, 'binnedConfidence': 3}",,4.96576,0.13105,808,False,['0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913'],,,3.21261,,,,7e0661bf-8cf3-45e6-9424-31916d4c7b84,lending,USDC
Ethereum,compound-v3,ETH,21898777,1.58315,0.06641,1.64956,['0xc00e94Cb662C3520282E6f5717214004A7f26888'],85c57261-b75b-4447-a115-d79b1a7de8ed,0.05484,0.34958,-5.4209,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",,2.57917,0.05283,1211,False,['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2'],,,1.90841,,,,85c57261-b75b-4447-a115-d79b1a7de8ed,lending,ETH
Arbitrum,aave-v3,USDC,18839169,3.1475,,3.1475,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,0.0871,0.12633,-2.74584,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 75, 'binnedConfidence': 3}",,5.18749,0.16633,1062,False,['0xaf88d065e77c8cC2239327C5EDb3A432268e5831'],,,3.36981,,,,d9fa8e14-0447-4207-9ae8-7810199dfa1f,lending,USDC
Arbitrum,aave-v3,WETH,18826621,1.28894,,1.28894,,e302de4d-952e-4e18-9749-0a9dc86e98bc,-0.01682,-0.08082,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 68, 'binnedConfidence': 2}",,1.49326,0.03343,1366,False,['0x82aF49447D8a07e3bd95BD0d56f35241523fBab1'],,,1.08257,,,,e302de4d-952e-4e18-9749-0a9dc86e98bc,lending,ETH
Arbitrum,aave-v3,DAI,1074661,2.12477,,2.12477,,a8e3d841-2788-4647-ad54-5a36fac451b1,-0.00087,-0.00358,-1.15378,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 79, 'binnedConfidence': 3}",,4.15292,0.19524,1381,False,['0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1'],,,2.56342,,,,a8e3d841-2788-4647-ad54-5a36fac451b1,lending,DAI
